"Bash","Command Editing","CTRL+A CTRL+E","Go to the start/end of the command line"
"Bash","Command Editing","CTRL+U CTRL+K","Delete from cursor to the start/end of the command line"
"Bash","Command Editing","CTRL+W ALT+D","Delete from cursor to start/end of word (whole word if at the boundary)"
"Bash","Command Editing","CTRL+Y","Paste word or text that was cut using one of the deletion shortcuts (such as the one above) after the cursor"
"Bash","Command Editing","CTRL+XX","Move between start of command line and current cursor position (and back again)"
"Bash","Command Editing","ALT+B ALT+F","Move backward/forward one word (or go to start of word the cursor is currently on)"
"Bash","Command Editing","ALT+C","Capitalize to end of word starting at cursor (whole word if cursor is at the beginning of word)"
"Bash","Command Editing","ALT+U","Make uppercase from cursor to end of word"
"Bash","Command Editing","ALT+L","Make lowercase from cursor to end of word"
"Bash","Command Editing","ALT+T","Swap current word with previous"
"Bash","Command Editing","CTRL+F CTRL+B","Move forward/backward one character"
"Bash","Command Editing","CTRL+D CTRL+H","Delete character after/before under cursor"
"Bash","Command Editing","CTRL+T","Swap character under cursor with the previous one"
"Bash","command Recall","CTRL+R","Search the history backwards"
"Bash","command Recall","CTRL+J","End the search at current history entry"
"Bash","command Recall","CTRL+G","Escape from history searching mode"
"Bash","command Recall","CTRL+P","Previous command in history (i.e., walk back through the command history)"
"Bash","command Recall","CTRL+N","Next command in history (i.e., walk forward through the command history)"
"Bash","command Recall","CTRL+_","Undo last command"
"Bash","command Recall","ALT+.","Use the last word of the previous command"
"Bash","Command Control","CTRL+L","Clear the screen"
"Bash","Command Control","CTRL+S","Stops the output to the screen (for long running verbose command)"
"Bash","Command Control","CTRL+Q","Allow output to the screen (if previously stopped using command above)"
"Bash","Command Control","CTRL+C","Terminate the command"
"Bash","Command Control","CTRL+Z","Suspend/stop the command"
"Bash","!","!!","Run last command"
"Bash","!","!blah","Run the most recent command that starts with blah"
"Bash","!","!blah:p","Print out the command that !blah would run (also adds it as the latest command in the command history"
"Bash","!","!$","The last word of the previous command (same as ALT+.)"
"Bash","!","!$:p","Print out the word that !$ would substitute"
"Bash","!","!*","The previous command except for the first word (e.g., if you type find some_file.txt /, then !* would give you some_file.txt /)"
"Bash","!","!*:p","Print out what !* would substitute"
"Confluence","","//","Opens the date picker"
"Confluence","","Alt +SHIFT+DOWN","Insert table row after"
"Confluence","","Alt +SHIFT+UP","Insert table row before"
"Confluence","","CTRL+0","Set paragraph style"
"Confluence","","CTRL+1-6","Set as heading 1-6"
"Confluence","","CTRL+7","Preformatted"
"Confluence","","CTRL+8","Quote"
"Confluence","","CTRL+ENTER","Publish page"
"Confluence","","CTRL+ENTER","Publish"
"Confluence","","CTRL+SHIFT+I","Insert table"
"Confluence","","CTRL+SHIFT+a","Insert macro"
"Confluence","","CTRL+SHIFT+b","Bulleted list"
"Confluence","","CTRL+SHIFT+d","Insert markup"
"Confluence","","CTRL+SHIFT+e","Preview"
"Confluence","","CTRL+SHIFT+n","Numbered list"
"Confluence","","CTRL+SHIFT+s","Strikethrough"
"Confluence","","CTRL+h","Find / Replace"
"Confluence","","CTRL+k","Insert link"
"Confluence","","CTRL+m","Insert files & images"
"Confluence","","CTRL+y","Redo"
